10,4,5076664
10,4,5390925
100,4,1715936
500,4,10737132
1000,4,9077658
1000,10,21954598
500,10,64440555
100,10,20881571
10,10,8846008
10,2,3292923
100,2,3782315
1000,2,1378949
1000,1,1267869
2000,2,1254590
100,2,1179138
100,2,5053883
100,2,11289728
100,2,11299690
100,2,8223176
100,2,9094966
100,2,610412
100,2,886814
100,2,13589228
100,2,3369747
5,2,1030303
5,4,5428491
5,4,10734807908
5,4,1210887
5,4,2435781
5,4,9294159
100,4,11540940
100,4,8424491
5,4,8538696
5,4,20831345929
5,4,16843419560
5,4,7708838
5,4,5117589
5,4,4449501
10,4,7908694
10,4,4270153
100,4,11439972
100,4,8341754
100,4,11243533
100,4,12404692
10,4,13289468
10,4,12756659
10,4,5583020
10,4,11954358214
10,4,18646470774
10,4,8950696
1000,4,14562347
500,4,8909611
100,4,6532811
100,4,15292656
100,4,8489631729
100,4,10913817
100,4,4437517
